Price,Close,High,Low,Open,Volume
Ticker,NXPI,NXPI,NXPI,NXPI,NXPI
Date,,,,,
2025-04-25,191.76785278320312,192.79827012366323,186.67518096342397,187.64615318478127,2485700
2025-04-28,194.43309020996094,196.32549205019475,188.8351045341368,191.09410981300218,4337500
2025-04-29,180.93849182128906,183.83160363235254,175.5584966858931,179.84862932110482,6950800
2025-04-30,182.61293029785156,183.2371342980484,174.63704908869033,177.63914861240397,3210600
2025-05-01,180.16567993164062,185.09983679200286,179.8387166371618,184.39636756116207,3354900
2025-05-02,186.40768432617188,189.84573521518365,182.58322500009814,182.78138045941074,3434700
2025-05-05,183.24703979492188,185.13945678791566,182.45440290127246,184.30719485281486,2323900
2025-05-06,180.73043823242188,182.93990096474613,178.9668290389732,180.57190782624204,1579800
2025-05-07,185.1493682861328,186.09063314722326,180.7403451932303,181.94911311330137,2137500
2025-05-08,186.83372497558594,191.26255297269722,185.17908840909104,187.89386495285618,2412200
2025-05-09,190.1132354736328,192.26325299693863,187.6956997904197,189.51875403345906,2682900
2025-05-12,205.12374877929688,207.00624828662737,202.43870984917504,202.9935511726707,4998000
2025-05-13,210.4442901611328,211.04867410243298,204.30138058360285,204.30138058360285,3909900
2025-05-14,209.38414001464844,211.45489230751423,207.14495484381797,210.62263039817452,2386700
2025-05-15,208.7896728515625,209.7210201025473,206.7486429789576,207.77907551471213,1999500
2025-05-16,210.60281372070312,211.02886228102912,207.1944857112594,209.00763747622364,2093700
2025-05-19,208.42308044433594,209.49313800214554,203.62764907356407,204.77695671569302,2108800
2025-05-20,208.14566040039062,209.00764491407003,205.76774967001512,205.76774967001512,1672000
2025-05-21,203.45921325683594,211.39545446508257,202.49814347667268,205.4507004195159,3017900
2025-05-22,194.70059204101562,209.0571781030974,194.45289396269442,207.76914507216895,5012600
2025-05-23,190.3807373046875,192.31279441382148,187.57680835696897,188.1712746750717,3674100
2025-05-27,197.06858825683594,198.60431939095892,191.99573636850883,193.5017449422151,3935000
2025-05-28,194.4033660888672,198.42598045457694,193.97731753341662,197.2172126250998,2240400
2025-05-29,194.08631896972656,198.47553708043358,192.80820344988746,198.15847626163483,1851400
2025-05-30,189.37014770507812,193.25405192363323,186.4472981623294,192.86764350980044,4292600
2025-06-02,191.03466796875,191.87684750203468,188.05238847867105,188.60722976814702,1734200
2025-06-03,197.1280517578125,197.8810484979798,188.5775089763387,190.44020342415794,2866900
2025-06-04,208.08621215820312,209.1463521039473,199.42668163579148,200.3976538990349,3857200
2025-06-05,204.9949188232422,211.53415398677728,203.7960686181781,208.9878105438338,2362500
2025-06-06,205.7677459716797,209.0571837981749,205.4804228450479,208.66087290938114,1901200
2025-06-09,211.1180419921875,213.2482395603329,207.01616214668033,207.6799912266061,2727100
2025-06-10,216.70611572265625,218.69760301128682,211.53417816645336,212.46552544475466,2588900
2025-06-11,215.40817260742188,220.1738814841538,213.13924961580253,217.77616576498212,2222200
2025-06-12,215.39825439453125,217.99414067477477,214.21922417795426,215.30908670995083,1711000
2025-06-13,208.95809936523438,213.19868938936858,208.48252327309268,210.91987909211517,1840200
2025-06-16,215.52706909179688,216.00264520963634,211.25675627605057,211.97012801195584,1739100
2025-06-17,210.87034606933594,215.26946669759795,210.62264797196346,211.0883216044871,2202200
2025-06-18,209.5030517578125,212.47542898337133,208.789680014215,211.6035419443129,1938800
2025-06-20,207.0756072998047,213.38694991888792,205.797491782395,211.45490780266772,4244800
2025-06-23,208.91847229003906,209.6318439804538,203.97441309752685,207.64035683038253,1847200
2025-06-24,216.49803161621094,218.64804920807327,212.1286488292863,213.02035589968932,2833300
2025-06-25,215.28761291503906,216.93003592827847,212.82894512465757,216.52192872848258,1781700
2025-06-26,217.29835510253906,218.35348896728993,215.5862459371327,216.90018134966803,2709700
2025-06-27,216.04412841796875,219.87646917897004,214.1229913078025,217.1490359088691,2060500
2025-06-30,217.48748779296875,218.7018911703506,215.6559188899952,218.7018911703506,2165300
2025-07-01,220.19500732421875,224.53500251969731,214.46142677164485,215.5961953912125,4451100
2025-07-02,230.08938598632812,231.1345712073622,222.8328420826241,223.07174633533282,2730800
2025-07-03,231.0350341796875,232.11006532176214,229.19351667809923,230.08938102608656,1299400
2025-07-07,224.9630126953125,230.56718464189137,224.4155332992282,227.7999417185289,2165700
2025-07-08,231.27392578125,233.2448516705323,226.0878398894763,227.7103504570601,2287900
2025-07-09,229.36273193359375,233.45387409022112,226.39640971047814,230.7164922751457,1819200
2025-07-10,232.12002563476562,235.37502571025192,229.37267999026247,232.0005811071873,1948100
