Price,Close,High,Low,Open,Volume
Ticker,ODFL,ODFL,ODFL,ODFL,ODFL
Date,,,,,
2025-04-25,146.21437072753906,150.9772471581649,144.38095020369678,148.74526554886563,4094900
2025-04-28,148.4662628173828,148.9943630728189,145.26775476082864,146.48338578009333,2699000
2025-04-29,149.11392211914062,149.50252446452245,146.04496858358286,147.42998875857236,2026000
2025-04-30,152.73094177246094,153.10958545782302,145.84569010642514,148.61573078407193,2958800
2025-05-01,150.0206756591797,153.63767747902708,149.0740817008875,152.31243985576583,2153700
2025-05-02,157.44398498535156,160.24393202167354,151.7046234248349,152.45193684072078,2628100
2025-05-05,155.6703643798828,158.16140913180368,155.50097516124785,156.32800384338125,1272100
2025-05-06,152.80068969726562,155.08247997829764,151.97366102307348,153.44835524489386,1012300
2025-05-07,155.03265380859375,155.93939772550968,153.40850300815256,153.40850300815256,1173900
2025-05-08,159.5464324951172,160.8517375377384,154.98283659673433,155.54084340343937,1733900
2025-05-09,157.71302795410156,159.7158225098826,156.77639267193211,159.17776352019533,1058000
2025-05-12,175.43930053710938,176.21650525436516,167.3982010801007,169.25153891450987,3596800
2025-05-13,170.7262420654297,175.73822296619704,170.62660939631576,175.3297031758076,1841000
2025-05-14,171.03512573242188,171.38387807760407,167.76687625052824,169.8593599133605,1470400
2025-05-15,169.3212890625,170.71628326651015,168.1953471569298,169.9390785088444,1652400
2025-05-16,170.6664581298828,170.92552131257287,168.34480257887688,170.57678416712056,1098200
2025-05-19,170.99526977539062,171.77247449082665,167.23877018136318,168.38465984426603,2107100
2025-05-20,168.9924774169922,171.1048784433623,168.2052987826621,169.78959955243968,1886500
2025-05-21,163.6018524169922,168.0458676004083,163.5719610972392,166.34200155796856,2048800
2025-05-22,163.0139617919922,163.97051438698247,161.75846560538957,163.55202072615805,1264400
2025-05-23,160.9812774658203,162.0673693546436,158.00199760190816,159.0980481964903,896100
2025-05-27,163.6217803955078,164.11998931611464,160.4930289822622,164.11998931611464,2223400
2025-05-28,161.84814453125,164.53848489709605,161.57912265796926,164.40894571091135,1015800
2025-05-29,161.42965698242188,163.49224931394394,160.33360642524147,163.33281880245684,1301800
