Price,Close,High,Low,Open,Volume
Ticker,PAYX,PAYX,PAYX,PAYX,PAYX
Date,,,,,
2025-04-29,144.27296447753906,145.06129047290307,141.15908506568857,142.05580607336594,2131000
2025-04-30,144.9725799560547,145.1696727146082,139.85833261455932,142.61746583757787,2500100
2025-05-01,144.47003173828125,145.37660130456842,142.19375168087683,144.2039685389803,1785000
2025-05-02,147.62332153320312,148.3525256626603,145.34704145917252,146.08609421235477,1460400
2025-05-05,147.26858520507812,148.5890226014702,146.69704923438582,147.6233311511607,1345300
2025-05-06,146.84486389160156,147.21930707385997,145.58354835584566,146.67734706657885,1291700
2025-05-07,148.12588500976562,148.8846350000576,146.8744181546669,147.32769541691061,1610300
2025-05-08,149.1211395263672,150.56968412746437,148.33281358135147,149.31821725360442,1295300
2025-05-09,149.43646240234375,149.8306328968933,148.5890146341459,148.96347284495124,1120300
2025-05-12,150.5480499267578,152.12607645591277,148.97002339760286,152.12607645591277,2435100
2025-05-13,150.12127685546875,151.35194732156594,150.04187729534144,150.67707377636006,1456500
2025-05-14,150.86563110351562,151.1435219927554,148.34475942429268,149.3273119466232,1823500
2025-05-15,153.2674102783203,153.34680983828156,151.28246671104193,151.41149288896864,1549900
2025-05-16,154.8057403564453,155.09356564645717,152.51313302169237,153.02922257542878,1415500
2025-05-19,156.99911499023438,157.05866087464815,153.74380872832697,154.02169961820312,1628400
2025-05-20,156.48301696777344,157.03879871751025,155.6791172837672,156.3936981459765,1467000
2025-05-21,155.0439453125,156.32422726708856,154.45839058690981,155.49055459229052,1217500
2025-05-22,155.0042266845703,155.82798003328818,154.10108892452823,155.01416109392335,1034400
2025-05-23,154.9149169921875,155.38137994176589,153.00937298587303,153.87281859113116,1085400
2025-05-27,157.7732391357422,158.05113002096897,155.69897676247186,156.31430441634294,1759800
2025-05-28,155.8081512451172,158.54736792458607,155.78829756908635,158.19007747561903,1484000
2025-05-29,156.2349090576172,156.7112912816827,155.03402665929735,155.86769933739146,1402400
2025-05-30,156.72122192382812,157.61444046546546,155.76844235468644,156.62196868857174,1993800
2025-06-02,156.31430053710938,156.38378082865052,154.30950336293984,155.9173178948994,1417400
2025-06-03,157.05865478515625,157.1678272836546,155.30197554347097,155.89746465235595,1459500
2025-06-04,158.13052368164062,158.53744072837168,156.33415226060464,156.76090783845655,1271100
2025-06-05,158.1106719970703,158.7259996357351,157.3365452439382,157.95187288260294,958800
2025-06-06,158.57713317871094,160.02614858036037,158.19006980642163,159.3810328639336,1005800
2025-06-09,155.78829956054688,158.1801602315984,154.74620114241193,157.93204228175284,1488000
2025-06-10,154.1407928466797,156.32422777806195,153.0192948665408,155.62950054679277,1462900
2025-06-11,152.88034057617188,154.3988362748468,152.28486661692548,154.3988362748468,1653500
2025-06-12,152.33448791503906,153.0986802265908,150.2502912706409,153.07884169605035,1492700
2025-06-13,152.0665283203125,152.7612555419934,150.95496476562306,151.42142771673403,2525400
2025-06-16,152.52305603027344,153.73387281456934,152.10621969953647,152.76125470951638,1665100
2025-06-17,151.37179565429688,153.1284597493835,150.78622581201756,152.5131321100142,1567100
2025-06-18,149.1883544921875,151.68937229401092,148.97000950480214,151.3717892221245,2910200
2025-06-20,147.9973907470703,149.59527095921737,147.4813163119813,149.18836902845834,3483500
2025-06-23,150.11135864257812,150.21061187941305,147.68972504541648,148.55317065899283,2337900
2025-06-24,151.10382080078125,151.42141902326853,149.05933146124892,150.1609756866369,4296500
2025-06-25,136.90155029296875,144.90086986379256,135.8495327019158,144.17636975477023,9294200
2025-06-26,139.9484405517578,140.22633143925157,137.06035917502507,137.45734183032542,3931500
2025-06-27,142.85638427734375,143.47171190836187,139.7697965688573,140.1469406750513,3850000
2025-06-30,144.3649444580078,144.90087252869466,141.86391145899665,142.90600980391105,4050200
2025-07-01,146.3101806640625,147.64008914812908,144.13666515167128,144.59320881093424,3666900
2025-07-02,144.86119079589844,145.555918028096,142.19143922710134,145.555918028096,3702000
2025-07-03,146.02236938476562,146.15138041083372,144.46418151128287,145.19861603777952,1540000
2025-07-07,144.5733642578125,146.64762667048115,144.1763815982104,146.12161783174543,3435900
2025-07-08,143.819091796875,145.07952007596182,142.27083821594601,144.17638224969846,3500000
2025-07-09,144.84132385253906,145.0100422260531,143.07472541937284,144.03742419006545,2514400
2025-07-10,144.216064453125,145.0001255992759,143.6205905023428,143.91831990577552,2792900
2025-07-11,142.21127319335938,144.34509658421024,141.71503730859183,144.087044232024,1910300
2025-07-14,143.22360229492188,143.41217435897434,141.52648400628505,142.02271990372094,2416000
2025-07-15,139.6209259033203,142.7174482249113,139.58123369454512,142.54872983576044,2034400
2025-07-16,141.17910766601562,141.44707928114425,139.1643912074973,139.70031929383734,1760800
2025-07-17,142.21127319335938,142.67773613655427,141.03024450850322,141.17910921636653,1834500
2025-07-18,142.3800048828125,143.08465134949225,141.85398091934547,143.08465134949225,2487300
2025-07-21,142.66000366210938,143.5500030517578,142.07000732421875,142.3800048828125,1439900
2025-07-22,144.5800018310547,145.49000549316406,142.91000366210938,142.91000366210938,1585600
2025-07-23,145.24000549316406,145.6999969482422,143.91000366210938,144.44000244140625,1873300
2025-07-24,146.39999389648438,146.66000366210938,144.02999877929688,144.85000610351562,1698700
2025-07-25,147.99000549316406,148.10000610351562,145.88999938964844,146.92999267578125,1294600
2025-07-28,146.25999450683594,148.11000061035156,146.0,148.0399932861328,1447000
2025-07-29,147.2899932861328,147.35000610351562,145.0399932861328,146.72999572753906,2112100
2025-07-30,145.91000366210938,148.0,145.49000549316406,146.69000244140625,1749900
2025-07-31,144.3300018310547,146.8300018310547,144.07000732421875,144.7899932861328,2420700
2025-08-01,139.33999633789062,143.5800018310547,138.3699951171875,143.1199951171875,4235400
2025-08-04,139.42999267578125,140.25,138.6199951171875,139.44000244140625,2389400
2025-08-05,139.17999267578125,139.9499969482422,138.75999450683594,139.6699981689453,1976700
2025-08-06,139.0800018310547,139.69000244140625,138.22000122070312,139.60000610351562,2018000
2025-08-07,140.52000427246094,141.05999755859375,139.4199981689453,140.0500030517578,1885100
2025-08-08,141.19000244140625,141.88999938964844,140.25999450683594,140.3000030517578,1368000
2025-08-11,138.60000610351562,141.58999633789062,138.38999938964844,141.10000610351562,2521900
2025-08-12,134.99000549316406,138.72999572753906,134.80999755859375,138.58999633789062,3123400
2025-08-13,138.61000061035156,138.80999755859375,134.8300018310547,135.0399932861328,2584200
2025-08-14,137.49000549316406,138.88999938964844,137.25,138.3800048828125,1425000
2025-08-15,138.25,138.94000244140625,136.9199981689453,138.0,2672200
2025-08-18,137.57000732421875,139.07000732421875,137.22999572753906,138.3300018310547,1966100
2025-08-19,139.00999450683594,139.60000610351562,137.47999572753906,137.75999450683594,2117000
2025-08-20,138.8800048828125,140.77000427246094,138.44000244140625,139.8800048828125,2274300
2025-08-21,138.41000366210938,138.7100067138672,137.6699981689453,138.27999877929688,1609500
2025-08-22,140.80999755859375,141.19000244140625,138.83999633789062,139.1699981689453,2066300
2025-08-25,138.5,140.55999755859375,138.24000549316406,140.41000366210938,1707700
2025-08-26,138.0399932861328,139.0,137.60000610351562,138.17999267578125,3317500
2025-08-27,138.64999389648438,139.33999633789062,137.72999572753906,138.2100067138672,1852700
2025-08-28,138.72000122070312,139.2100067138672,137.8800048828125,138.75,1681400
2025-08-29,139.4600067138672,139.52999877929688,138.3800048828125,138.86000061035156,1715800
2025-09-02,135.9600067138672,139.05999755859375,135.2100067138672,138.69000244140625,2059200
2025-09-03,135.6300048828125,136.0399932861328,134.33999633789062,135.22000122070312,1549200
2025-09-04,137.32000732421875,137.38999938964844,134.7899932861328,135.52999877929688,1995600
2025-09-05,135.44000244140625,138.19000244140625,133.72000122070312,137.72000122070312,1898300
