Price,Close,High,Low,Open,Volume
Ticker,TTWO,TTWO,TTWO,TTWO,TTWO
Date,,,,,
2025-04-29,230.7100067138672,231.22999572753906,225.1999969482422,225.1999969482422,1621200
2025-04-30,233.32000732421875,234.08999633789062,225.39999389648438,227.0,2234200
2025-05-01,235.1699981689453,238.0,233.4199981689453,234.1199951171875,2175100
2025-05-02,219.5,224.72000122070312,211.0,214.4499969482422,8968300
2025-05-05,225.32000732421875,225.82000732421875,217.74000549316406,218.5,2828200
2025-05-06,231.83999633789062,232.2100067138672,222.24000549316406,223.50999450683594,2812000
2025-05-07,226.33999633789062,232.94000244140625,225.33999633789062,232.11000061035156,2786100
2025-05-08,225.4499969482422,227.97999572753906,224.38999938964844,227.11000061035156,1773800
2025-05-09,226.5500030517578,227.49000549316406,223.0500030517578,225.4499969482422,1524700
2025-05-12,226.25,227.88999938964844,219.41000366210938,226.0800018310547,2080100
2025-05-13,226.16000366210938,228.3000030517578,224.30999755859375,225.86000061035156,2116700
2025-05-14,229.5,229.6699981689453,224.88999938964844,225.7100067138672,2140200
2025-05-15,232.33999633789062,233.75999450683594,228.39999389648438,228.75,3081500
2025-05-16,226.74000549316406,240.77999877929688,226.11000061035156,236.5800018310547,4381400
2025-05-19,234.66000366210938,235.72000122070312,225.4499969482422,226.74000549316406,2190000
2025-05-20,237.5,237.6199951171875,232.5399932861328,233.02000427246094,1729500
2025-05-21,226.75999450683594,231.63999938964844,226.6699981689453,228.02999877929688,6081100
2025-05-22,226.00999450683594,228.39999389648438,223.1199951171875,228.02999877929688,4750900
2025-05-23,224.99000549316406,226.16000366210938,224.0,225.9199981689453,1862800
2025-05-27,226.27000427246094,227.5,224.0,226.0,2372000
2025-05-28,228.3300018310547,229.8800048828125,226.33999633789062,226.33999633789062,2077600
2025-05-29,225.38999938964844,228.66000366210938,223.72000122070312,228.66000366210938,2137500
2025-05-30,226.27999877929688,226.9499969482422,224.25999450683594,225.39999389648438,3647800
2025-06-02,227.60000610351562,227.6300048828125,222.1199951171875,226.10000610351562,2472600
2025-06-03,229.64999389648438,229.85000610351562,224.0,227.0,1832200
2025-06-04,229.17999267578125,230.39999389648438,227.1999969482422,229.52000427246094,1757500
2025-06-05,231.02999877929688,232.77999877929688,228.8300018310547,229.5500030517578,2340200
2025-06-06,232.72000122070312,233.1999969482422,230.47000122070312,232.97999572753906,1497000
2025-06-09,233.5,234.3300018310547,230.38999938964844,232.27000427246094,1426200
2025-06-10,234.91000366210938,235.6199951171875,231.89999389648438,233.47000122070312,1596600
2025-06-11,234.74000549316406,235.6699981689453,232.24000549316406,234.3300018310547,1277500
2025-06-12,234.4600067138672,237.38999938964844,233.61000061035156,234.1199951171875,1441000
2025-06-13,230.22999572753906,235.8000030517578,229.58999633789062,232.92999267578125,2011400
2025-06-16,238.60000610351562,240.44000244140625,230.6699981689453,230.9499969482422,2220100
2025-06-17,237.52000427246094,239.55999755859375,236.14999389648438,238.61000061035156,1713100
2025-06-18,238.5,242.08999633789062,235.6699981689453,237.6999969482422,2510600
2025-06-20,238.3699951171875,242.27999877929688,236.97999572753906,240.08999633789062,3448500
2025-06-23,241.58999633789062,241.9600067138672,235.5500030517578,238.30999755859375,1719000
2025-06-24,243.0500030517578,245.0800018310547,240.6199951171875,242.3699951171875,1943300
2025-06-25,241.63999938964844,244.44000244140625,240.80999755859375,243.47000122070312,1526800
2025-06-26,239.3300018310547,242.75999450683594,238.66000366210938,241.3800048828125,1667000
2025-06-27,241.44000244140625,241.91000366210938,238.8800048828125,239.5500030517578,4576800
2025-06-30,242.85000610351562,244.5,237.30999755859375,242.67999267578125,3236600
2025-07-01,240.10000610351562,243.89999389648438,238.11000061035156,242.42999267578125,1932500
2025-07-02,239.50999450683594,242.27999877929688,238.82000732421875,239.92999267578125,1640400
2025-07-03,240.11000061035156,240.99000549316406,237.00999450683594,240.16000366210938,1008300
2025-07-07,242.52999877929688,243.19000244140625,239.83999633789062,240.63999938964844,1924500
2025-07-08,240.55999755859375,243.1300048828125,239.50999450683594,242.52999877929688,1083300
2025-07-09,242.22999572753906,243.17999267578125,240.16000366210938,241.35000610351562,1369400
2025-07-10,235.3300018310547,242.52999877929688,234.60000610351562,241.6699981689453,2471600
2025-07-11,233.9199981689453,236.52999877929688,233.14999389648438,235.77999877929688,1429400
2025-07-14,238.4600067138672,239.16000366210938,233.5,234.0,1340000
2025-07-15,237.6999969482422,241.07000732421875,236.1999969482422,237.8000030517578,2203400
2025-07-16,238.72999572753906,239.60000610351562,236.91000366210938,238.7899932861328,1660300
2025-07-17,233.9199981689453,238.9600067138672,230.39999389648438,238.72999572753906,2106100
2025-07-18,231.17999267578125,234.9499969482422,227.4499969482422,233.97000122070312,3170400
2025-07-21,231.6300048828125,233.24000549316406,230.05999755859375,232.0800018310547,1355800
2025-07-22,231.07000732421875,232.85000610351562,229.10000610351562,232.1300048828125,1777000
2025-07-23,228.72999572753906,231.2899932861328,227.8699951171875,230.4499969482422,1331200
2025-07-24,225.75,229.41000366210938,225.3300018310547,228.17999267578125,1608100
2025-07-25,224.75,227.2100067138672,223.0399932861328,226.0,1895500
2025-07-28,226.10000610351562,228.66000366210938,224.41000366210938,228.22999572753906,1421600
2025-07-29,223.97999572753906,227.36000061035156,222.5,227.14999389648438,1857400
2025-07-30,223.80999755859375,225.9199981689453,223.0500030517578,224.0500030517578,1512000
2025-07-31,222.72999572753906,225.30999755859375,222.3000030517578,224.6199951171875,1644000
2025-08-01,220.5800018310547,222.82000732421875,219.07000732421875,222.82000732421875,1396300
2025-08-04,225.99000549316406,226.38999938964844,221.6199951171875,222.83999633789062,1875300
2025-08-05,225.9199981689453,227.99000549316406,225.41000366210938,226.17999267578125,1398000
2025-08-06,227.2100067138672,227.6699981689453,224.0,226.66000366210938,1544400
2025-08-07,226.49000549316406,228.50999450683594,222.3800048828125,227.75,2267100
2025-08-08,217.3699951171875,239.13999938964844,216.33999633789062,237.52000427246094,5619200
2025-08-11,222.6699981689453,226.57000732421875,218.39999389648438,219.36000061035156,3191100
2025-08-12,232.55999755859375,232.77999877929688,224.1999969482422,224.44000244140625,2440000
2025-08-13,236.13999938964844,236.24000549316406,230.6999969482422,233.2899932861328,2105700
2025-08-14,233.16000366210938,238.38999938964844,232.1999969482422,235.3000030517578,1688700
2025-08-15,232.17999267578125,233.64999389648438,229.58999633789062,233.64999389648438,1376600
2025-08-18,232.5500030517578,235.60000610351562,231.52000427246094,233.47000122070312,1428600
2025-08-19,228.36000061035156,232.4499969482422,227.75,232.10000610351562,1366200
2025-08-20,228.6699981689453,229.4499969482422,225.5399932861328,227.3800048828125,1327300
2025-08-21,227.8699951171875,228.7899932861328,226.27999877929688,227.47000122070312,950500
2025-08-22,229.02999877929688,230.07000732421875,226.75,228.6699981689453,1089300
2025-08-25,231.8300018310547,232.99000549316406,228.5,228.6699981689453,1187900
2025-08-26,230.82000732421875,233.5500030517578,230.3300018310547,231.36000061035156,2165300
2025-08-27,232.02999877929688,232.33999633789062,228.75,230.52000427246094,1030000
2025-08-28,234.89999389648438,235.02999877929688,230.63999938964844,230.63999938964844,1127100
2025-08-29,233.27000427246094,235.99000549316406,232.61000061035156,234.27999877929688,989000
2025-09-02,240.9499969482422,241.0800018310547,229.3300018310547,231.16000366210938,1860300
2025-09-03,238.86000061035156,242.3000030517578,237.02999877929688,241.0,1208700
2025-09-04,240.64999389648438,240.83999633789062,237.3699951171875,238.52999877929688,915400
2025-09-05,239.67999267578125,242.69000244140625,236.94000244140625,242.0,979400
2025-09-08,248.77999877929688,250.4499969482422,241.39999389648438,241.77999877929688,2214500
2025-09-09,247.86000061035156,250.0,247.27000427246094,249.27999877929688,997500
2025-09-10,244.0399932861328,248.5800018310547,243.4600067138672,248.5800018310547,1116400
2025-09-11,246.5399932861328,248.0,244.88999938964844,246.07000732421875,976800
2025-09-12,246.25999450683594,248.3000030517578,244.02999877929688,245.97000122070312,1001700
2025-09-15,247.25,250.25,245.9199981689453,246.25,1333400
2025-09-16,247.72999572753906,250.9600067138672,246.72000122070312,247.5399932861328,1764100
2025-09-17,250.52000427246094,251.1999969482422,245.6999969482422,248.0,1690900
2025-09-18,249.74000549316406,252.61000061035156,249.11000061035156,251.08999633789062,2167000
2025-09-19,250.85000610351562,252.39999389648438,247.80999755859375,251.9600067138672,3620100
2025-09-22,251.63999938964844,255.3300018310547,249.38999938964844,249.38999938964844,1609300
2025-09-23,251.27999877929688,254.1199951171875,250.83999633789062,251.63999938964844,1572700
