Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
ADBE,0.0753,753.46,359.91,2.0935,753.46,353.1600036621094,-1.8754678497098332,739.3404676666261
APP,0.1477,1477.04,626.82,2.3564,1477.04,698.8200073242188,11.4865523314857,1646.699465258789
AZN,0.0937,936.54,82.61,11.3369,936.54,92.5199966430664,11.996122313359647,1048.8899499427796
CRWD,0.097,969.82,546.94,1.7732,969.82,475.9100036621094,-12.986798613721916,843.8836184936524
CSCO,0.1177,1177.14,72.62,16.2096,1177.14,77.79000091552734,7.119252155779865,1260.944798840332
CSX,0.1006,1006.38,35.68,28.2058,1006.38,36.720001220703125,2.9148016275311717,1035.7170104309082
GFS,0.0766,765.99,34.64,22.1128,765.99,35.849998474121094,3.493067188571275,792.743846258545
GOOGL,0.0743,742.64,267.47,2.7765,742.64,313.55999755859375,17.231838171979554,870.5993332214356
KDP,0.0991,991.13,28.85,34.3546,991.13,28.15999984741211,-2.391681638086285,967.425530757904
MELI,0.118,1179.85,2290.14,0.5152,1179.85,2014.969970703125,-12.015423917178635,1038.11252890625
