Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
ADBE,0.0695,695.48,359.91,1.9324,695.48,219.72000122070312,-38.95140417862712,424.5869303588867
APP,0.1322,1322.45,626.82,2.1098,1322.45,527.0599975585938,-15.915255167577024,1111.991182849121
AZN,0.0724,723.6,82.61,8.7592,723.6,195.14999389648438,136.2304731830098,1709.3578265380859
CRWD,0.1335,1334.65,546.94,2.4402,1334.65,193.97999572753906,-64.5335876462612,473.3499855743408
CSCO,0.1197,1196.52,72.62,16.4764,1196.52,112.69000244140625,55.17764037648891,1856.7255562255862
CSX,0.1247,1246.65,35.68,34.9396,1246.65,48.88999938964844,37.02354089027029,1708.1970226745605
GFS,0.0707,707.04,34.64,20.4111,707.04,69.83999633789062,101.61661760361036,1425.5111492523195
GOOGL,0.0685,685.49,267.47,2.5629,685.49,359.9100036621094,34.560886702100916,922.4133483856201
ISRG,0.0867,867.38,545.39,1.5904,867.38,426.010009765625,-21.888921732040366,677.52631953125
KDP,0.1221,1220.75,28.85,42.3138,1220.75,33.29999923706055,15.4246074074889,1409.0495077171327
