Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
APP,0.1,1041.2085154814574,626.82,3.153552633904929,1234.26,330.1700134277344,-47.3261840037436,1067.8495460419279
ARM,0.1,1041.2085154814574,173.09,3.2245541503950883,1097.47,322.8999938964844,86.5503460029374,1167.2955675091725
CRWD,0.1,1041.2085154814574,546.94,4.1756907559457135,1204.88,249.35000610351562,-54.40998901094899,1045.39236357845
CSCO,0.1,1041.2085154814574,72.62,9.34154426730573,1111.69,111.45999908447266,53.483887475175784,1014.0818162242105
CSX,0.1,1041.2085154814574,35.68,22.63988861668093,742.17,45.9900016784668,28.895744614536987,972.8598490666961
GOOG,0.1,1041.2085154814574,268.43,2.967505144273459,835.92,350.8699951171875,30.711915626862684,1015.0284637444431
INTC,0.1,1041.2085154814574,41.53,8.549913991775039,808.84,121.77999877929688,193.2338039472595,1117.2590824625213
KDP,0.1,1041.2085154814574,28.85,34.004196177139136,1040.28,30.6200008392334,6.135184884691158,985.3987492844551
MELI,0.1,1041.2085154814574,2290.14,0.5719449000739675,751.77,1820.469970703125,-20.508354480375644,1014.7800945268488
MSFT,0.1,1041.2085154814574,542.07,2.075733230772325,1172.72,501.6099853515625,-7.463983369018312,1012.139622375847
